,Longitudes,Latitudes
0,-118.755997,36.7014631
1,-104.9793986,39.7367895
2,-80.9084670987562,33.5412752
3,0.0711669,51.5582734
4,139.7594549,35.6828387
5,117.8902853,-2.4833826
6,-122.419906,37.7790262
7,-85.759407,38.2542376
8,9.2147675,45.4838459
9,-93.2654692,44.9772995
10,-78.15184583888714,-10.066489149999999
11,-90.0517638,35.1460249
12,103.8194992,1.357107
13,102.2656823,4.5693754
14,-95.2414104,38.7311123
15,9.810356535653737,55.04104775
16,139.2394179,36.5748441
17,-80.6366144,27.9946969
18,-130.1575280481465,53.9286515
19,-75.91454009395426,42.095815200000004
20,-0.1276474,51.5073219
21,-72.032366,42.3788774
22,8.2319736,46.7985624
23,-80.9084670987562,33.5412752
24,-92.4576356,44.0319619
25,-87.6244212,41.8755616
26,-97.1071186,32.7355816
27,-0.1276474,51.5073219
28,8.7525902,46.3351913
29,-77.0365427,38.8950368
30,31.2718321,49.4871968
31,-122.271356,37.8044557
32,-66.4858295,18.2247706
33,-118.42889,34.0408394
34,-74.0060152,40.7127281
35,-73.9598939,40.7896239
36,6.0243622,47.2380222
37,-80.9084670987562,33.5412752
38,-74.0060152,40.7127281
39,-155.42837009716908,19.593801499999998
40,-80.9084670987562,33.5412752
41,-72.9081912,-41.4255819
42,-84.1947345,39.762205
43,106.80486325728526,-6.28381815
44,-81.4639835,27.7567667
45,-1.2578499,51.7520131
46,106.827183,-6.1753942
47,12.885888076510067,42.41473635
48,-86.000977,50.000678
49,-122.330062,47.6038321
50,-80.9084670987562,33.5412752
51,0.0995242,5.8101532
52,-43.2093727,-22.9110137
53,31.009909,-29.861825
54,-3.2765753,54.7023545
55,-111.763275,34.395342
56,-0.1276474,51.5073219
57,-79.3839347,43.6534817
58,-77.0365427,38.8950368
59,-121.493895,38.5810606
60,-123.113952,49.2608724
61,7.9999721,9.6000359
62,103.8194992,1.357107
63,2.3200410217200766,48.8588897
64,19.6608615,41.7862439
65,-84.2747329,34.0709576
66,-122.674194,45.5202471
67,9.0284647,50.6080651
68,-87.6559443,41.9470723
69,87.6855882,22.9964948
70,-97.7436995,30.2711286
71,-97.6568094,39.1273653
72,151.2082848,-33.8698439
73,-50.5492435,-20.2671767
74,-3.696977,42.343926
75,12.674297,42.6384261
76,-68.7461817,-43.7128356
77,-46.6333824,-23.5506507
78,-79.3839347,43.6534817
79,-95.3676974,29.7589382
80,-83.1137366,32.3293809
81,-118.2332085,34.0398007
82,-3.1791934,51.4816546
83,-85.538541,30.7818584
84,-83.0466403,42.3315509
85,-2.99168,53.4071991
86,107.307897,-6.3042012
87,-100.445882,39.7837304
88,-83.0466403,42.3315509
89,-3.8026402,53.1440071
90,-69.9699468,18.4357733
91,35.7878438,-6.5247123
92,-86.000977,50.000678
93,-7.5466312481173325,41.5229299
94,141.34322629122707,42.94487265
95,1.8883335,46.603354
96,151.2656212,-33.7131699
97,25.3716223,65.3218756
98,35.5036675,14.073115
99,-118.242766,34.0536909
100,-80.9084670987562,33.5412752
101,-0.1276474,51.5073219
102,10.4410399,43.7629956
103,-77.44589662266645,38.7872666
104,-75.6901106,45.4208777
105,-72.51478135359363,42.1125825
106,-79.3839347,43.6534817
107,-77.57539,44.1019126
108,-122.829342,49.2822243
109,-53.2,-10.3333333
110,-76.610759,39.2908816
111,-74.0060152,40.7127281
112,8.5410422,47.3744489
113,7.9999721,9.6000359
114,-74.978493,39.830107
115,-105.3632079,40.102555
116,-2.5972985,51.4538022
117,1.8883335,46.603354
118,-53.2,-10.3333333
119,-2.1102277,49.1856637
120,-107.991707,61.0666922
121,-1.2649062,52.5310214
122,39.2704604,-6.8971302
123,3.8595132132013186,43.59047185
124,3.8595132132013186,43.59047185
125,-84.1051939,33.7123305
126,120.31003075000001,14.8492416
127,21.2549447,48.7265014
128,3.8972497,7.3777462
129,-6.90228703588302,53.63288005
130,67.0207055,24.8546842
131,30.7322878,46.4843023
132,-93.2295515,38.7098314
133,134.755,-24.7761086
134,-77.7278831,40.9699889
135,-58.5697624,-34.6808844
136,-80.9084670987562,33.5412752
137,-1.1531982,53.3144605
138,-111.84125,33.3061605
139,107.6404716,-6.8891904
140,-80.2631733,43.1408157
141,-53.7935237,-29.6837845
142,-93.2654692,44.9772995
143,-2.2891921,53.4877463
144,-0.1276474,51.5073219
145,-3.2765753,54.7023545
146,19.6608615,41.7862439
147,-114.065465,51.0460954
148,-82.6147407,41.240863
149,-81.68916780651988,41.5036765
150,86.671523179221,27.2525998
151,-80.9084670987562,33.5412752
152,13.0001566,55.6052931
153,9.9934336,48.3974003
154,-47.7125224,-24.3998924
155,-87.6244212,41.8755616
156,-73.9497211,40.6526006
157,-96.8078766,32.780595
158,-96.8078766,32.780595
159,106.827183,-6.1753942
160,-100.445882,39.7837304
161,-87.6244212,41.8755616
162,7.9999721,9.6000359
163,-101.63342727011974,36.5941993
164,-0.1276474,51.5073219
165,17.4328413,40.5348787
166,78.1396522,11.0640776
167,-123.113952,49.2608724
168,-72.7342163,41.6500201
169,-80.9084670987562,33.5412752
170,-94.07714830522015,33.44667445
171,-94.07714830522015,33.44667445
172,-40.3548666,-20.3319444
173,-118.242766,34.0536909
174,-122.0832101,37.3893889
175,-87.6244212,41.8755616
176,-43.2093727,-22.9110137
177,-118.242766,34.0536909
178,21.0067249,52.2319581
179,-73.5698065,45.5031824
180,-2.6852531259442145,54.068092449999995
181,-84.3902644,33.7489924
182,100.58967104895733,7.2630995
183,-74.0060152,40.7127281
184,-118.242766,34.0536909
185,5.4688096,45.3990442
186,-98.5121975,27.6708701
187,19.8799136,41.6669051
188,-74.4041622,40.0757384
189,-4.8379791,39.3260685
190,-4.8379791,39.3260685
191,-102.4107493,34.2331373
192,-84.3902644,33.7489924
193,-118.755997,36.7014631
194,-13.26795,8.479004
195,8.7525902,46.3351913
196,28.049722,-26.205
197,2.1774322,41.3828939
198,12.041273,44.2227278
199,-77.0365427,38.8950368
200,-117.5664449,33.8752945
201,-102.4107493,34.2331373
202,-74.978493,39.830107
203,-73.9497211,40.6526006
204,-68.2043361,44.3876378
205,-122.439874,47.2495798
206,-77.57539,44.1019126
207,-84.77931270902907,33.9106577
208,-107.991707,61.0666922
209,10.4410399,43.7629956
210,10.4410399,43.7629956
211,10.4410399,43.7629956
212,10.4410399,43.7629956
213,10.4410399,43.7629956
214,-13.26795,8.479004
215,10.4410399,43.7629956
216,10.4410399,43.7629956
217,10.4410399,43.7629956
218,10.4410399,43.7629956
219,10.4410399,43.7629956
220,10.4410399,43.7629956
221,10.4410399,43.7629956
222,10.4410399,43.7629956
223,10.4410399,43.7629956
224,10.4410399,43.7629956
225,10.4410399,43.7629956
226,10.4410399,43.7629956
227,10.4410399,43.7629956
228,10.4410399,43.7629956
229,10.4410399,43.7629956
230,-97.2684063,34.9550817
231,10.4410399,43.7629956
232,10.4410399,43.7629956
233,10.4410399,43.7629956
234,10.4410399,43.7629956
235,10.4410399,43.7629956
236,31.2718321,49.4871968
237,-69.9699468,18.4357733
238,-41.9294776,-12.285251
239,12.9815831,50.6514935
240,139.4160114,35.9754168
241,10.4410399,43.7629956
242,10.4410399,43.7629956
243,10.4410399,43.7629956
244,10.4410399,43.7629956
245,10.4410399,43.7629956
246,10.4410399,43.7629956
247,10.4410399,43.7629956
248,10.4410399,43.7629956
249,10.4410399,43.7629956
250,174.7631803,-36.852095
251,10.4410399,43.7629956
252,10.4410399,43.7629956
253,10.4410399,43.7629956
254,10.4410399,43.7629956
255,10.4410399,43.7629956
256,67.0207055,24.8546842
257,10.4410399,43.7629956
258,10.4410399,43.7629956
259,10.4410399,43.7629956
260,10.4410399,43.7629956
261,10.4410399,43.7629956
262,10.4410399,43.7629956
263,10.4410399,43.7629956
264,10.4410399,43.7629956
265,10.4410399,43.7629956
266,10.4410399,43.7629956
267,10.4410399,43.7629956
268,10.4410399,43.7629956
